EicCode,EicDisplayName,EicLongName,EicParent,EicResponsibleParty,EicStatus,MarketParticipantPostalCode,MarketParticipantIsoCountryCode,MarketParticipantVatCode,EicTypeFunctionList,type
11W0-0000-0217-P,EIF_HEIMBACH,EIF_HEIMBACH,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0218-M,EIF_OLEF,EIF_OLEF,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0219-J,MOSEL_DETZEM,MOSEL_DETZEM,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0220-5,MOSEL_ENKIRCH,MOSEL_ENKIRCH,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0221-2,MOSEL_FANKEL,MOSEL_FANKEL,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0223-X,MOSEL_KOBLENZ,MOSEL_KOBLENZ,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0224-U,MOSEL_LEHMEN,MOSEL_LEHMEN,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0225-R,MOSEL_MUEDEN,MOSEL_MUEDEN,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0226-O,MOSEL_NEEF,MOSEL_NEEF,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0227-L,MOSEL_PALZEM,MOSEL_PALZEM,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0228-I,MOSEL_TRIER,MOSEL_TRIER,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0229-F,MOSEL_WINTRICH,MOSEL_WINTRICH,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0230-1,MOSEL_ZELTINGEN,MOSEL_ZELTINGEN,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0231-Z,SAAR_KANZEM,SAAR_KANZEM,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0232-W,SAAR_LISDORF,SAAR_LISDORF,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0233-T,SAAR_METTLACH,SAAR_METTLACH,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0234-Q,SAAR_REHLINGEN,SAAR_REHLINGEN,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0235-N,SAARSAARBRUECKEN,SAARSAARBRUECKEN,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0236-K,SAAR_SCHODEN,SAAR_SCHODEN,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0237-H,UR_BALDENEY,UR_BALDENEY,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0238-E,UR_HOHENSTEIN,UR_HOHENSTEIN,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0239-B,UR_KETTWIG,UR_KETTWIG,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0240-Y,SUED_GUD1_DT12,SWM_HKW_SUED_GUD1_DT12,,,Active,,,,Generation Unit,W
11W0-0000-0241-V,SUED_GUD1_GT11,SWM_HKW_SUED_GUD1_GT11,,,Active,,,,Generation Unit,W
11W0-0000-0245-J,GUD_HERNE_6,Gas- und Dampfturbinenheizkraftwerk Herne 6,,11X0-0000-0706-U,Active,,,,Generation Unit,W
11W0-0000-0262-K,RKR_M2,Rheinkraftwerk Reckingen M2,,11XENBW-H------P,Active,,,,Generation Unit,W
11W0-0000-0263-H,HERDECKEBATTERIE,Batterie Herdecke / Köpchenwerk,,11XRWETRADING--0,Active,,,,Storage Plant,W
11W0-0000-0265-B,AMK_MHKW,AMK Müllheizkraftwerk,,,Active,,,,Generation Unit,W
11W0-0000-0276-4,KW-WYHL,Kraftwerk Wyhlen,,11X0-0000-0359-L,Active,,,,Generation,W
11W0-0000-0280-I,MERCER,Zellstoff Stendal_GmbH,,,Active,,,,Production Plant,W
11W0-0000-0282-C,DANNA_ERZ,Danna-Erzeugungsanlage,,11XENBW-H------P,Active,,,,Generation,W
